Id,Label,PageRank,InDegree,OutDegree,Community,NeighborCommunities,BridgeScore,Url
524880,hep-lat/9607057,27.590120142845034,4,3,713730,2,55.18024028569007,https://arxiv.org/abs/hep-lat/9607057
361524,hep-th/9802150,384.5817711588546,6600,21,218682,27,10383.707821289076,https://arxiv.org/abs/hep-th/9802150
598764,math/9807049,49.008091607455505,94,0,391291,1,49.008091607455505,https://arxiv.org/abs/math/9807049
961752,1503.04269,21.20120103548022,9,0,735373,0,0.0,https://arxiv.org/abs/1503.04269
374058,hep-th/9908076,27.936109782724355,211,7,345230,5,139.68054891362178,https://arxiv.org/abs/hep-th/9908076
178740,gr-qc/9404013,23.34367699391287,39,2,33853,2,46.68735398782574,https://arxiv.org/abs/gr-qc/9404013
591996,hep-th/9303057,27.91313471899327,19,9,658293,3,83.73940415697982,https://arxiv.org/abs/hep-th/9303057
679758,quant-ph/9605034,98.91895449581921,124,1,336545,1,98.91895449581921,https://arxiv.org/abs/quant-ph/9605034
736320,hep-th/9502010,38.41488035934298,161,1,735289,3,115.24464107802893,https://arxiv.org/abs/hep-th/9502010
352392,hep-th/9501071,31.468546946967912,200,22,700093,3,94.40564084090374,https://arxiv.org/abs/hep-th/9501071
909288,hep-ph/9610461,28.995360947627688,22,35,67686,4,115.98144379051075,https://arxiv.org/abs/hep-ph/9610461
878700,quant-ph/9702029,28.534360283921426,67,11,599207,5,142.67180141960714,https://arxiv.org/abs/quant-ph/9702029
259428,hep-th/9405069,25.013480193117022,73,0,933910,5,125.06740096558511,https://arxiv.org/abs/hep-th/9405069
760416,hep-th/9511043,88.5159235471848,270,9,658293,9,796.6433119246632,https://arxiv.org/abs/hep-th/9511043
932160,hep-ph/9503280,100.96168654354955,167,0,66367,3,302.88505963064864,https://arxiv.org/abs/hep-ph/9503280
650196,astro-ph/9805201,131.19115417559945,2645,2,246082,12,1574.2938501071935,https://arxiv.org/abs/astro-ph/9805201
572916,hep-ex/0304021,28.864649368690422,193,0,89766,2,57.729298737380844,https://arxiv.org/abs/hep-ex/0304021
526278,hep-ph/9806471,48.36370719008218,570,66,527053,5,241.8185359504109,https://arxiv.org/abs/hep-ph/9806471
792942,hep-th/9611202,53.121428677440065,193,15,658293,8,424.9714294195205,https://arxiv.org/abs/hep-th/9611202
418404,hep-th/9509080,35.75715186620949,156,1,853296,3,107.27145559862848,https://arxiv.org/abs/hep-th/9509080
775392,hep-th/9605009,37.21898684955891,148,18,644835,5,186.09493424779455,https://arxiv.org/abs/hep-th/9605009
582228,hep-th/9607207,25.14677179122088,355,12,325967,9,226.3209461209879,https://arxiv.org/abs/hep-th/9607207
98112,0810.3286,44.980844710419625,29,0,205709,1,44.980844710419625,https://arxiv.org/abs/0810.3286
949620,0904.3523,31.85463976039182,35,5,370710,1,31.85463976039182,https://arxiv.org/abs/0904.3523
