Source,Target,Type
234636,3016,Directed
234636,169284,Directed
234636,535572,Directed
234636,690608,Directed
235334,776463,Directed
235597,76878,Directed
235597,604011,Directed
236189,236896,Directed
236896,822253,Directed
237143,84743,Directed
237143,298889,Directed
240708,66345,Directed
240708,134609,Directed
240708,331182,Directed
240708,663942,Directed
240834,108597,Directed
240834,369001,Directed
240834,426567,Directed
240834,446349,Directed
240834,578075,Directed
240834,769932,Directed
240834,956944,Directed
242826,258304,Directed
243202,109194,Directed
243202,738418,Directed
243740,178673,Directed
243740,371166,Directed
243740,485511,Directed
243740,493107,Directed
243740,765295,Directed
243740,837286,Directed
243740,861535,Directed
243740,880450,Directed
243740,897908,Directed
243740,917164,Directed
245245,417771,Directed
245245,536007,Directed
251169,198307,Directed
251169,294658,Directed
251169,340618,Directed
251169,466896,Directed
251169,917287,Directed
251618,163,Directed
251618,47597,Directed
251618,68817,Directed
251618,482485,Directed
251618,551869,Directed
251841,38308,Directed
251841,66345,Directed
251841,78175,Directed
251841,80140,Directed
251841,93677,Directed
251841,107392,Directed
251841,173104,Directed
251841,263525,Directed
251841,281673,Directed
251841,330419,Directed
251841,331182,Directed
251841,339616,Directed
251841,358900,Directed
251841,361524,Directed
251841,367748,Directed
251841,376679,Directed
251841,394026,Directed
251841,460550,Directed
251841,470650,Directed
251841,495162,Directed
251841,500527,Directed
251841,511456,Directed
251841,512959,Directed
251841,561887,Directed
251841,605595,Directed
251841,624049,Directed
251841,655211,Directed
251841,675871,Directed
251841,686929,Directed
251841,698186,Directed
251841,769932,Directed
251841,842730,Directed
251841,847044,Directed
251841,852499,Directed
251841,855712,Directed
251841,956944,Directed
251841,972342,Directed
252284,145820,Directed
252284,164580,Directed
252284,509561,Directed
252284,963714,Directed
252444,78964,Directed
252546,404597,Directed
252546,473193,Directed
252546,572230,Directed
252546,928462,Directed
252546,935380,Directed
252772,211347,Directed
253572,772920,Directed
253572,855712,Directed
254581,438100,Directed
254837,243740,Directed
254837,269905,Directed
254837,294658,Directed
254837,343585,Directed
254837,358900,Directed
254837,361524,Directed
254837,473193,Directed
254837,520293,Directed
254837,703443,Directed
254837,713786,Directed
254837,733170,Directed
254837,847044,Directed
254837,858073,Directed
254837,880450,Directed
254837,897156,Directed
254837,955142,Directed
255153,69334,Directed
255153,117249,Directed
255153,188429,Directed
255153,214868,Directed
255153,217818,Directed
255153,234571,Directed
255153,371166,Directed
255153,516390,Directed
255153,570165,Directed
255153,624049,Directed
255153,663188,Directed
255153,665457,Directed
255153,691298,Directed
255153,723355,Directed
255153,769932,Directed
255153,789840,Directed
255153,809936,Directed
255153,817055,Directed
255153,817255,Directed
255153,837286,Directed
255153,969631,Directed
255424,235283,Directed
255424,380736,Directed
255424,404092,Directed
256009,66345,Directed
256009,908732,Directed
256009,966109,Directed
256813,730888,Directed
257049,288739,Directed
257049,452441,Directed
257490,17491,Directed
258304,180642,Directed
258304,313048,Directed
258304,475002,Directed
258304,775288,Directed
258949,80772,Directed
258949,235334,Directed
260137,240834,Directed
261279,260137,Directed
261279,473193,Directed
261279,711333,Directed
261279,774202,Directed
261895,69299,Directed
261895,263524,Directed
261895,294688,Directed
261895,373867,Directed
261895,446609,Directed
261895,582085,Directed
261895,717785,Directed
262008,80140,Directed
262008,446349,Directed
262008,956944,Directed
262703,99906,Directed
262703,337782,Directed
262703,394026,Directed
263107,466896,Directed
263107,622820,Directed
