Source,Target,Type
460278,756573,Directed
460550,36606,Directed
460550,570165,Directed
460550,652747,Directed
464427,736987,Directed
464427,886890,Directed
466896,90301,Directed
466896,460550,Directed
466896,817255,Directed
469958,12,Directed
469958,199693,Directed
469958,426567,Directed
469958,507966,Directed
470309,766344,Directed
470650,607806,Directed
470650,827256,Directed
473193,21956,Directed
473193,33428,Directed
473193,112993,Directed
473193,147677,Directed
473193,175095,Directed
473193,353233,Directed
473193,358453,Directed
473193,369001,Directed
473193,393065,Directed
473193,394026,Directed
473193,395522,Directed
473193,426567,Directed
473193,460278,Directed
473193,589591,Directed
473193,622820,Directed
473193,637827,Directed
473193,647762,Directed
473193,663942,Directed
474064,83588,Directed
474064,188429,Directed
474064,234571,Directed
474064,323603,Directed
474064,334615,Directed
474064,371327,Directed
474064,406500,Directed
474064,417947,Directed
474064,460550,Directed
474064,642729,Directed
474064,662404,Directed
474064,691298,Directed
474064,695630,Directed
474064,769932,Directed
474064,809936,Directed
474064,817255,Directed
474064,837286,Directed
474064,917164,Directed
475514,517675,Directed
476815,552577,Directed
477291,739794,Directed
480597,217818,Directed
480597,323603,Directed
480597,371166,Directed
480597,433532,Directed
480597,460550,Directed
480597,662404,Directed
480597,691298,Directed
480597,809936,Directed
480597,880450,Directed
482485,68817,Directed
482485,75122,Directed
482485,129665,Directed
482485,687575,Directed
484938,108058,Directed
484938,769932,Directed
485511,880450,Directed
490739,105933,Directed
490739,147677,Directed
490739,404597,Directed
490739,572230,Directed
490739,711333,Directed
490739,713786,Directed
490739,935380,Directed
491195,390552,Directed
493107,593581,Directed
495162,665457,Directed
500322,437946,Directed
503187,903,Directed
503187,682577,Directed
503187,750650,Directed
507966,12,Directed
507966,589591,Directed
507966,602762,Directed
507966,605595,Directed
507966,664421,Directed
507966,792942,Directed
507966,956944,Directed
509561,697359,Directed
509561,773407,Directed
509561,886147,Directed
509561,906384,Directed
509561,941012,Directed
509826,570165,Directed
509826,679770,Directed
509826,769932,Directed
512959,46040,Directed
512959,394026,Directed
512959,695630,Directed
512959,886143,Directed
513397,778588,Directed
515379,82196,Directed
515379,294688,Directed
515379,578303,Directed
515379,582085,Directed
515379,650196,Directed
515379,710410,Directed
515379,744538,Directed
515379,762859,Directed
515379,784533,Directed
515379,924485,Directed
516216,711215,Directed
516390,237336,Directed
516390,912619,Directed
517600,507664,Directed
517600,584320,Directed
517600,750650,Directed
517675,166246,Directed
517978,107392,Directed
517978,857606,Directed
517993,285619,Directed
517993,693228,Directed
517993,788633,Directed
519525,163,Directed
519525,686503,Directed
519525,818358,Directed
520293,337782,Directed
520293,361524,Directed
520293,394026,Directed
520293,473193,Directed
520293,512959,Directed
520293,572230,Directed
520293,713786,Directed
520293,935380,Directed
522972,170470,Directed
522972,798371,Directed
523484,22168,Directed
523484,667449,Directed
523484,869931,Directed
528956,229015,Directed
528956,343585,Directed
528956,361524,Directed
528956,561887,Directed
528956,713786,Directed
528956,862591,Directed
530380,739879,Directed
530380,843699,Directed
533833,475514,Directed
534144,697359,Directed
535572,19647,Directed
535572,118479,Directed
535572,690608,Directed
540260,20620,Directed
540260,33428,Directed
540260,160059,Directed
540260,393065,Directed
540260,637827,Directed
