Id,Label,PageRank,InDegree,OutDegree,Community,NeighborCommunities,BridgeScore,VizLabel,Url
339616,"hep-th/9512077",143.3812494189343,702,12,658293,6,860.2874965136057,"hep-th/9512077 (nComm=6, bScore=860.287)",https://arxiv.org/abs/hep-th/9512077
258304,"astro-ph/0104460",114.39792401517776,500,7,12886,1,114.39792401517776,"astro-ph/0104460 (nComm=1, bScore=114.398)",https://arxiv.org/abs/astro-ph/0104460
517600,"hep-ph/0108264",79.03103536174775,391,9,322217,1,79.03103536174775,"hep-ph/0108264 (nComm=1, bScore=79.031)",https://arxiv.org/abs/hep-ph/0108264
394654,"1605.02688",87.39018001589442,541,12,697359,4,349.56072006357766,"1605.02688 (nComm=4, bScore=349.561)",https://arxiv.org/abs/1605.02688
894994,"1409.0473",233.42361681860592,1480,2,843965,3,700.2708504558177,"1409.0473 (nComm=3, bScore=700.271)",https://arxiv.org/abs/1409.0473
769240,"nucl-th/0305084",86.25819283427695,609,25,436635,1,86.25819283427695,"nucl-th/0305084 (nComm=1, bScore=86.258)",https://arxiv.org/abs/nucl-th/0305084
778588,"hep-ex/9805006",78.45654434268945,180,0,741426,0,0.0,"hep-ex/9805006 (nComm=0, bScore=0.000)",https://arxiv.org/abs/hep-ex/9805006
710410,"astro-ph/9812133",133.72274212237352,2614,11,246082,2,267.44548424474704,"astro-ph/9812133 (nComm=2, bScore=267.445)",https://arxiv.org/abs/astro-ph/9812133
953434,"hep-th/9506160",100.43664834148373,76,11,658293,3,301.30994502445117,"hep-th/9506160 (nComm=3, bScore=301.310)",https://arxiv.org/abs/hep-th/9506160
837286,"hep-th/9402002",470.80873287520126,204,9,658293,8,3766.46986300161,"hep-th/9402002 (nComm=8, bScore=3766.470)",https://arxiv.org/abs/hep-th/9402002
920272,"math-ph/0010025",116.26804490369375,1258,3,52066,0,0.0,"math-ph/0010025 (nComm=0, bScore=0.000)",https://arxiv.org/abs/math-ph/0010025
108058,"hep-th/9412184",150.78958532337614,359,20,658293,3,452.3687559701284,"hep-th/9412184 (nComm=3, bScore=452.369)",https://arxiv.org/abs/hep-th/9412184
107392,"hep-th/9509066",95.02273371215054,530,39,358445,4,380.09093484860216,"hep-th/9509066 (nComm=4, bScore=380.091)",https://arxiv.org/abs/hep-th/9509066
